trace_id,task_name,step_name,status,execution_order,created_at
5cccbfaf-d40b-4452-9082-9b5e831c21cc,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:37:28.716
5cccbfaf-d40b-4452-9082-9b5e831c21cc,AI_Refinement,Fetch_Users,SUCCESS,Found target users: [UUID('76b8d0ed-825d-43a6-a725-37e10c11015b')],2,2026-03-09 11:37:29.106
3d5e7d12-364d-492b-a531-2b74a60edf84,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:38:39.211
3d5e7d12-364d-492b-a531-2b74a60edf84,AI_Refinement,Fetch_Users,SUCCESS,Found target users: ['76b8d0ed-825d-43a6-a725-37e10c11015b'],2,2026-03-09 11:38:39.580
3d5e7d12-364d-492b-a531-2b74a60edf84,AI_Refinement,Call_Cleaning_API_76b8d0ed-825d-43a6-a725-37e10c11015b,IN_PROGRESS,"{'user_id': '76b8d0ed-825d-43a6-a725-37e10c11015b', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",2,2026-03-09 11:38:39.605
a9e8c0c7-0eb5-4994-be49-6309b8ecee4c,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:41:42.850
a9e8c0c7-0eb5-4994-be49-6309b8ecee4c,AI_Refinement,Fetch_Users,SUCCESS,Found target users: ['76b8d0ed-825d-43a6-a725-37e10c11015b'],2,2026-03-09 11:41:43.242
a9e8c0c7-0eb5-4994-be49-6309b8ecee4c,AI_Refinement,Call_Cleaning_API_76b8d0ed-825d-43a6-a725-37e10c11015b,IN_PROGRESS,"{'user_id': '76b8d0ed-825d-43a6-a725-37e10c11015b', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",2,2026-03-09 11:41:43.265
aed9eabb-e36a-4d62-bc8c-10437ca56714,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:42:03.530
aed9eabb-e36a-4d62-bc8c-10437ca56714,AI_Refinement,Fetch_Users,SUCCESS,Found target users: ['76b8d0ed-825d-43a6-a725-37e10c11015b'],2,2026-03-09 11:42:03.793
aed9eabb-e36a-4d62-bc8c-10437ca56714,AI_Refinement,Call_Cleaning_API_76b8d0ed-825d-43a6-a725-37e10c11015b,IN_PROGRESS,"{'user_id': '76b8d0ed-825d-43a6-a725-37e10c11015b', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",2,2026-03-09 11:42:03.803
28aad0e7-62ed-47ee-9b58-b1e6a5415c89,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:42:21.830
28aad0e7-62ed-47ee-9b58-b1e6a5415c89,AI_Refinement,Fetch_Users,SUCCESS,Found target users: ['76b8d0ed-825d-43a6-a725-37e10c11015b'],2,2026-03-09 11:42:22.083
28aad0e7-62ed-47ee-9b58-b1e6a5415c89,AI_Refinement,Call_Cleaning_API_76b8d0ed-825d-43a6-a725-37e10c11015b,IN_PROGRESS,"{'user_id': '76b8d0ed-825d-43a6-a725-37e10c11015b', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",2,2026-03-09 11:42:22.089
298c48f3-4fe9-44be-a4cc-bc82160ca204,AI_Refinement,Fetch_Data,SUCCESS,1,2026-03-09 11:44:43.300
298c48f3-4fe9-44be-a4cc-bc82160ca204,AI_Refinement,Fetch_Users,SUCCESS,"Found target users: ['76b8d0ed-825d-43a6-a725-37e10c11015b', 'e00a575b-4eaf-490e-84f6-8f2cbef39039']",2,2026-03-09 11:44:43.342
298c48f3-4fe9-44be-a4cc-bc82160ca204,AI_Refinement,Call_Cleaning_API_76b8d0ed-825d-43a6-a725-37e10c11015b,IN_PROGRESS,"{'user_id': '76b8d0ed-825d-43a6-a725-37e10c11015b', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",2,2026-03-09 11:44:43.349
298c48f3-4fe9-44be-a4cc-bc82160ca204,AI_Refinement,Call_Cleaning_API_e00a575b-4eaf-490e-84f6-8f2cbef39039,IN_PROGRESS,"{'user_id': 'e00a575b-4eaf-490e-84f6-8f2cbef39039', 'date_start': datetime.date(2026, 3, 5), 'date_end': datetime.date(2026, 3, 10), 'target_post_ids': [], 'is_force_reprocess': False, 'log_level_type': 'normal', 'action_mode': 'mode_result', 'is_enable_post_status_update': True}",3,2026-03-09 11:44:43.403
